Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4985.243Fe1,4986.644Fe1,38,0.5556677516611538,90614.3592519397,0.005876604120200522,32.859594389829404,-2945.603024548168,2.449167574117552e-07,-24.562958157345363,334.3615028249236
4985.243Fe1,4986.938Fe1,38,3.277957239892408,101948.5208092038,0.7513448769770538,-29.732879828638666,-968.8328643332211,-6.708295969136504e-05,23.057717204238063,107.85740825809955
4985.243Fe1,4990.341Fe1,38,4.871480230581706,312837.2520486172,-0.39873087647658956,58.71822910052932,-2430.895380652279,3.609376748926779e-05,-61.05950126190745,273.95994036651626
4985.507Ni1,4986.644Fe1,38,6.1510867979037815,61616.96696420942,-2.3739366036468583,-71.6141732542259,6425.610606912619,0.00020407943925229388,-21.846790690386417,-747.822275734116
4985.507Ni1,4986.938Fe1,38,7.714995099505777,76181.59167914662,-1.4743004682463428,-126.2196114750557,6709.33609783001,0.00012373074873671267,53.44335759771146,-780.1276886716274
4985.507Ni1,4990.341Fe1,38,5.075351002764689,286465.7142105921,-3.3512249978378836,-45.57835342775249,6514.577931908839,0.00028937788807424674,-32.418123068949924,-761.5829497530431
4986.644Fe1,4986.938Fe1,38,2.36420386861716,13669.82480366331,0.6380480865928071,-61.162290927780205,1050.6027050642517,-5.780781150940527e-05,70.2987253307144,-121.12087896095846
4986.644Fe1,4990.341Fe1,38,3.333085833869415,224227.65938336682,-0.6610813946443779,30.13601375303045,-64.60683616141961,5.8014775026709263e-05,-16.964154071169556,5.939125561559979
4986.938Fe1,4990.341Fe1,38,4.697515968569562,211549.31923430588,-1.3314570873838512,88.96425556971782,-1521.4533726253674,0.00011893744858070606,-79.83722112361289,172.4288763979571
4987.613Fe1,4994.748Fe2,38,4.616424270717762,420636.92501573457,9.46561056507895,-56.80543779579243,-9574.312134011201,-0.0007869833746630485,-66.91790492586357,1098.1293940174357
4987.613Fe1,4998.487Ti1,38,8.037450413394515,652356.840443424,-0.8684662395826338,-68.62310875028808,1497.271881015601,7.827390750181516e-05,-90.7750443924112,-180.08417773983564
4994.748Fe2,4997.044Ni1,38,0,151667.97524136552,-6.976944605140481,30.813507013644827,3394.046182725369,0.00057535450543547,-82.84699597880333,-378.6399734997282
4994.748Fe2,4997.044Ni1,39,5.019313731969113,145758.37750518956,-8.314012113196506,29.47762420128123,7993.92354014717,0.0006873104834303552,-131.10138509808618,-912.50097478824
4994.748Fe2,4998.487Ti1,38,8.282023751041914,233738.8305931903,-10.008175932122063,-16.039015038719647,9722.896853696027,0.000836999736235831,19.68524274573664,-1124.5723979916372
4994.748Fe2,4998.487Ti1,39,7.6754894521187795,227846.31298897445,-10.324592825988832,-18.864139370568203,12850.29353442926,0.0008621723640729226,-4.020970335456505,-1480.8020126487208
