Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
5133.204Ni1,5145.156Fe1,42,20.30929366924669,683230.8237301355,1.6622096410035672,46.82721350597787,4948.963535896386,-0.00014898512128887028,159.24760438075006,-614.231289867333
5133.204Ni1,5146.101Cr1,42,32.885002029945824,709990.1563987043,4.750107303385178,-215.33732655640202,14074.322225008202,-0.00045111877512850183,172.969932798053,-1636.2319164177193
5134.091Fe2,5137.524Fe1,42,29.78302401181283,164153.25036454902,15.331395243097537,102.89871530599618,-5170.052718587218,-0.0012406520474492464,-358.00667737201417,581.9883599331474
5134.091Fe2,5145.156Fe1,42,28.123662700221757,639794.8613961119,6.096684175498779,-27.857567795550505,-6639.980444970133,-0.0004672999938466166,-354.59125836069865,767.576318698804
5134.091Fe2,5146.101Cr1,42,50.92923514038691,659500.2885352738,8.864191665289074,-307.05980920800096,6223.346041191046,-0.000743775676041012,-376.3443342445855,-688.0006280456067
5134.091Fe2,5147.551Fe2,42,57.63098686596651,910640.1273304793,-23.904376076863656,-496.7491492761213,-27619.17219249716,0.002112503274574357,-529.5769996250608,3256.018037274536
5134.091Fe2,5147.740Fe1,42,81.65613948401626,763084.3371023039,4.231682617657607,223.3955282453191,5973.681024674231,-0.000176955573791909,-864.1902558001415,-635.6120317103305
5135.118Fe1,5138.510Ni1,42,11.890317184023507,207488.7387816006,-1.59884202253666,-16.328788640548844,-3006.0788808302555,0.00015063551694469057,-175.17257606390535,375.9390525260945
5135.118Fe1,5138.813Fe1,42,4.0674225301080265,218805.61391448526,-1.6805374199549814,-30.45661861981005,706.2306631113287,0.00014029958471432934,-19.095953060776253,-74.24998735713518
5135.118Fe1,5140.894Fe1,42,8.160441632040307,322704.2170924778,3.3788984991566013,-81.52777111341167,2299.191742832215,-0.00030335771724910476,60.48633457482234,-272.51917439388376
5135.118Fe1,5143.171Fe1,42,5.678667286228865,468434.2415418568,0.22621717617164416,-47.066231295272885,111.07110905836882,-2.003398812747218e-05,-16.611933220837216,0.06286058760168442
5135.118Fe1,5144.213Ni1,42,21.217291194698337,579284.382543815,-12.197515301336779,504.5952386573055,-6803.459965750796,0.0010817321871091467,-31.938408103439972,792.7535858913528
